age	sex	compositeHourlyWages	yearsEducation
39	Female	20.84	13
31	Male	24	17
53	Male	27.84	18
46	Male	34.56	12
45	Female	15.87	10
58	Male	31.9	8
18	Female	6.7	11
29	Male	12	8
20	Female	7	13
61	Female	7.89	12
18	Male	9.82	12
43	Male	6.7	20
25	Male	7	12
26	Male	18	15
38	Female	26.18	17
60	Male	33.6	13
36	Male	20	12
20	Female	6.85	12
33	Male	15.85	11
38	Female	7.48	12
56	Female	28.14	16
62	Female	7.67	5
57	Male	13.88	10
58	Male	17.44	5
58	Male	14.05	10
56	Female	13.54	12
63	Male	19.86	12
26	Male	18.72	16
29	Male	21.6	16
27	Male	18.35	12
32	Female	8.26	10
40	Female	20.85	12
30	Male	12	12
53	Female	14.36	10
35	Male	12.96	18
40	Male	17	14
17	Female	6.46	10
18	Male	9.34	12
37	Male	15.51	12
34	Female	25	17
35	Male	19	12
42	Female	8.5	12
46	Female	8	13
58	Male	20.45	17
46	Female	18.87	14
26	Male	10	12
31	Female	12.29	13
48	Female	14.28	13
42	Female	9	12
45	Male	19.33	10
42	Female	10.56	13
48	Female	23.09	12
49	Male	21.44	13
22	Male	7	18
51	Male	16.5	12
24	Male	18.9	19
35	Male	15.75	10
28	Male	13.21	16
27	Female	17.1	15
44	Male	16.08	14
41	Male	15.65	10
32	Male	13.13	19
28	Male	15.52	13
29	Male	23.04	16
61	Male	8	12
44	Female	10.85	10
22	Female	12.31	16
41	Male	12.81	10
24	Female	21	18
33	Male	16.12	12
33	Male	21.6	12
32	Female	12.35	15
38	Female	16.32	15
53	Female	19.2	11
58	Male	13.23	10
32	Male	21.43	15
34	Male	16.25	9
31	Female	23.63	13
29	Female	8	16
19	Female	7.49	11
20	Female	6	15
39	Female	21	11
37	Female	12.03	13
37	Female	10	13
38	Male	19.68	12
45	Male	10	11
32	Female	24.74	19
28	Female	13.75	17
23	Male	8.97	11
46	Female	14.5	14
62	Male	9.48	8
40	Female	9.2	13
30	Female	14.52	15
47	Male	16.68	12
20	Female	10.07	13
26	Female	7.97	10
39	Male	22.8	12
47	Female	17.77	15
39	Male	15.36	16
39	Male	24.92	12
24	Male	10	17
18	Male	6.6	10
17	Female	7.73	9
32	Male	14.8	9
41	Female	9.33	14
51	Female	10.35	17
21	Female	11.43	12
48	Female	30	16
30	Male	15	15
24	Female	10.46	14
26	Female	22.04	17
25	Female	11	15
47	Male	24	15
32	Female	17	15
36	Male	19	12
38	Male	15	12
39	Female	24	16
39	Female	12.65	12
32	Male	10.56	15
22	Male	13	11
21	Male	6	14
26	Female	7.88	14
33	Male	12.94	17
47	Male	15.78	16
54	Male	24	6
31	Female	24.69	18
53	Male	18.96	15
31	Male	12.13	11
28	Male	14.62	13
29	Male	13	16
25	Male	13.5	11
54	Male	13.62	14
51	Female	9.4	10
34	Female	14.77	17
24	Female	7.5	12
31	Female	11.5	13
46	Female	10	14
42	Male	28.8	12
28	Male	19.38	11
30	Female	24	15
20	Male	6.71	11
43	Male	23.42	12
34	Female	15.33	13
28	Male	12.48	13
37	Female	14.65	12
35	Female	8.91	10
51	Female	16.46	11
37	Male	16.76	19
31	Male	15.34	12
45	Male	26.62	16
23	Male	8.96	12
42	Male	20.87	13
19	Female	7	12
47	Female	38.34	20
28	Male	9	13
38	Female	25.63	14
48	Male	30.72	16
29	Female	5.15	12
42	Male	21.6	15
62	Female	28.8	15
28	Male	14.93	19
25	Male	15	15
20	Female	9	14
24	Male	13.76	10
48	Male	24	12
51	Female	28.16	14
56	Female	6.48	10
38	Female	13.06	13
45	Male	17.46	9
18	Female	6.76	13
30	Female	21.94	17
52	Female	18.79	14
40	Male	29.22	16
40	Female	13.75	17
30	Male	10.22	13
55	Female	21.99	16
34	Male	15.25	12
23	Female	6.7	16
24	Female	8.47	17
20	Male	11	14
25	Male	13.14	15
23	Male	11.45	12
56	Female	21.94	11
57	Male	36.32	17
49	Male	12.48	10
30	Female	16.06	16
61	Female	16.85	10
49	Male	14	15
42	Male	7	16
42	Female	8.33	14
52	Female	11.78	13
58	Female	12.25	12
42	Male	21.94	17
41	Female	10.18	10
40	Male	18.81	13
24	Female	4.63	14
40	Male	22.21	13
23	Male	9.45	13
49	Male	21.34	12
36	Female	11.87	13
44	Male	25.12	12
20	Male	8.03	11
48	Male	16	12
35	Female	14.89	17
18	Male	6.7	13
41	Male	18.92	20
30	Female	21.1	15
49	Female	10	12
60	Female	6.25	10
33	Female	9	9
31	Male	13	10
18	Male	7.16	7
45	Female	7.01	4
18	Male	9.63	12
56	Female	13.78	10
23	Male	15.36	18
18	Female	7	12
25	Male	11	11
55	Female	15.43	11
33	Female	11.5	15
33	Male	29.62	13
46	Female	33.39	16
30	Male	22.08	12
26	Female	12.51	13
18	Male	6.7	12
34	Male	9.57	15
45	Male	9.66	10
29	Female	19.04	20
26	Female	13	17
58	Female	9	8
45	Male	22.68	15
21	Female	6.5	12
57	Female	6.75	12
40	Female	26.98	20
46	Female	30.1	16
33	Male	38.76	11
33	Male	18.13	16
35	Male	17	8
33	Male	11	10
29	Male	6.61	16
64	Female	19.19	13
39	Male	38.4	15
16	Male	6	10
46	Female	27.36	19
46	Male	8.9	12
20	Male	9	14
51	Male	12	15
23	Male	12.9	17
48	Male	16.67	12
54	Male	18.58	8
41	Male	19	13
37	Female	25.51	16
49	Female	23.04	17
39	Male	14.47	12
29	Female	7.5	12
51	Female	11.55	10
27	Female	12	15
27	Male	17.57	18
27	Female	10	19
34	Male	15.54	12
22	Male	8.33	11
54	Female	7	12
39	Female	6.7	12
44	Female	17.67	16
26	Female	10.08	13
26	Male	18.24	16
46	Male	19.56	20
23	Female	8	15
33	Female	5.22	15
35	Male	25.44	10
21	Male	8.48	12
35	Female	14.88	12
37	Male	22.53	15
18	Female	7	11
38	Male	9.54	8
49	Female	9.32	13
36	Female	26.82	12
39	Female	23.68	13
19	Female	6.15	12
58	Female	9.5	12
27	Male	11.97	14
42	Female	15.89	13
33	Female	23.04	20
24	Female	15.42	16
35	Female	14.63	12
47	Male	8.79	12
27	Male	18.72	17
25	Female	6.85	16
33	Male	7.78	14
40	Female	15.85	14
18	Male	6.35	13
40	Male	38.07	19
36	Female	5.75	14
57	Male	12	8
25	Male	15.74	17
54	Male	12.91	9
26	Male	15.36	12
41	Male	25.44	11
21	Female	9.24	15
18	Male	8.5	12
45	Female	8.7	12
38	Male	16.32	15
22	Male	6.09	14
31	Female	21.6	18
25	Male	17.5	11
25	Female	6.4	11
42	Female	14.65	13
21	Female	6.34	14
45	Female	40.56	15
39	Female	13.7	20
38	Female	24	12
63	Male	18.24	14
45	Female	13.25	14
60	Female	9.7	11
36	Female	10.75	13
44	Female	2.3	12
45	Male	24.36	12
45	Female	14.88	16
28	Male	17.14	14
49	Female	17.1	12
31	Female	14.4	12
40	Female	7.56	14
51	Male	9.75	11
50	Male	18.46	19
40	Female	22.08	20
22	Male	8.33	13
57	Female	26.93	14
35	Male	22.36	18
30	Female	19.2	19
56	Male	21.68	13
34	Male	8.33	15
38	Female	22.27	20
45	Male	29.9	14
35	Female	23.81	17
38	Male	28.32	17
25	Male	7.2	17
21	Male	10	12
25	Male	17.21	17
36	Female	12.48	12
35	Female	18.24	17
31	Female	23.04	16
64	Male	15.99	15
47	Male	19.2	10
33	Female	11.88	12
22	Male	11.92	14
33	Male	18	12
49	Female	31.74	17
22	Male	8.5	14
38	Female	24	15
22	Male	11	17
31	Male	24.05	14
47	Male	19.2	12
53	Male	17.26	11
39	Male	44.78	11
48	Male	14.02	9
54	Female	8	15
32	Female	12.86	14
42	Female	13.8	11
47	Male	22.32	13
40	Female	8.75	10
46	Female	8.89	12
24	Female	15.5	14
32	Female	15.16	14
33	Female	6.13	12
17	Female	7	12
22	Female	6.7	10
54	Female	8.5	9
20	Male	3.84	12
60	Male	17	9
60	Male	24	11
52	Female	15.57	12
39	Female	13.48	9
60	Female	12.5	13
18	Female	6.75	12
42	Male	21.6	13
30	Male	25.85	18
51	Male	5.75	12
19	Male	6.63	12
51	Male	15	6
56	Female	19.97	13
39	Female	13.7	15
64	Male	17.45	10
24	Female	8.34	17
58	Male	8.41	11
25	Female	14	16
29	Male	8.6	9
64	Male	11.18	0
42	Male	14.4	13
38	Male	16	13
32	Male	20.64	13
60	Female	11.8	9
16	Female	6.25	10
42	Male	23.04	20
36	Female	11.9	12
16	Male	9.01	10
44	Female	47.36	16
25	Male	8	13
53	Male	15.84	12
55	Female	12.07	13
29	Male	20	17
31	Female	12.48	12
30	Female	7.93	12
51	Female	30.24	17
25	Male	8.75	14
34	Male	12.2	13
53	Female	18.75	18
54	Male	15.95	13
25	Male	11	13
41	Female	13	17
47	Female	15.36	12
50	Female	7.1	9
36	Male	10.84	11
36	Male	15.36	12
38	Male	21.39	16
28	Female	7.08	17
20	Female	6.7	13
34	Male	26.77	14
32	Female	15	13
37	Male	30	16
39	Male	17.62	12
46	Female	10	9
29	Female	9.89	18
32	Female	25	15
58	Male	32.12	20
30	Female	25	13
36	Female	7.36	12
17	Female	8.75	11
45	Male	15.23	10
47	Male	18	12
30	Female	27.8	9
24	Female	17.95	15
50	Female	40.05	20
29	Male	12.5	9
64	Female	13.05	9
44	Male	17.85	13
31	Male	15	14
34	Female	10	13
31	Male	11.29	13
38	Female	7.54	12
27	Male	14.96	13
32	Male	10.26	10
16	Male	3.75	10
26	Male	16.22	12
53	Female	33.59	15
36	Male	11	14
32	Female	20.3	12
34	Male	15.75	20
42	Female	13.59	13
41	Male	11.5	12
24	Male	9.35	17
16	Male	8.12	12
21	Female	4.96	16
65	Male	32.64	12
36	Male	28.73	15
39	Female	9.6	12
27	Male	16.51	13
29	Female	24.07	19
47	Male	16.5	18
54	Male	14.71	9
40	Male	19	18
31	Male	7.5	15
56	Male	19.2	7
48	Male	16	10
47	Male	16.22	10
41	Male	6.83	14
33	Female	3.64	13
30	Female	19.2	12
25	Female	7.5	12
37	Female	10.18	15
24	Female	30	17
50	Male	17.76	10
23	Male	6.58	12
64	Female	14.23	13
30	Female	10	20
34	Female	7	17
41	Female	22.39	17
42	Female	4.29	13
18	Male	46.15	11
53	Female	11.52	9
49	Female	6.85	8
45	Female	6.53	10
36	Male	23.96	14
54	Male	28.74	17
54	Male	23.04	13
61	Female	16.81	12
39	Male	24	12
27	Male	19.55	14
25	Female	7.2	19
38	Female	8.55	11
26	Male	19.39	15
31	Male	24.48	19
31	Male	17	10
48	Male	20.16	16
36	Female	18.56	13
35	Female	12.81	15
25	Male	7.03	12
54	Female	25.8	12
43	Male	26.11	16
44	Female	20.64	14
33	Male	11.99	13
19	Male	7.4	12
42	Male	31.71	12
36	Female	11	10
35	Female	22.4	15
22	Female	6.75	16
46	Female	18.24	10
24	Female	7.47	9
37	Male	12.39	9
46	Male	33.59	17
42	Female	20.85	18
30	Female	15.28	12
29	Male	17.1	13
60	Male	11.68	8
26	Female	7	13
38	Female	5.69	10
36	Male	22.54	15
37	Female	8.53	13
46	Male	14.13	19
45	Female	16.32	14
28	Female	12.29	17
36	Female	9.23	12
51	Male	15	17
31	Female	19.61	13
35	Female	27.79	18
24	Male	10.56	16
25	Female	7	14
23	Male	10	14
47	Female	6.63	12
51	Male	18.92	12
40	Female	18.24	14
43	Male	29.26	16
34	Female	16.45	13
50	Female	11.49	12
21	Female	6.7	15
37	Male	13.25	12
43	Female	14.59	18
34	Male	15.36	13
55	Female	16.4	13
41	Male	12	13
17	Female	9.15	12
37	Female	8.61	14
42	Female	25.58	17
42	Male	21.6	12
22	Male	13.06	9
36	Male	15	13
31	Female	9	14
42	Female	12.8	14
32	Female	16	16
31	Female	18.03	15
19	Female	12	17
29	Male	18.26	14
29	Male	15.84	20
29	Female	6.76	13
43	Male	19.68	11
54	Male	24	16
31	Female	7	12
19	Male	3.63	13
54	Male	27.65	18
25	Female	17.87	17
37	Male	27.93	12
34	Male	14.35	10
46	Male	17.84	8
44	Male	15	12
40	Female	21	10
37	Male	25	16
25	Female	15.36	17
45	Female	21.12	17
39	Female	13.44	16
37	Male	20.31	14
21	Female	9.41	13
19	Female	6.8	12
57	Female	23.04	11
17	Male	9.21	10
25	Female	13.63	13
44	Male	24	16
42	Male	20.95	13
44	Female	7.5	11
37	Male	17.34	12
19	Female	7.05	10
31	Female	21.3	10
34	Male	15	12
43	Female	13.56	13
48	Male	32.64	18
49	Male	47.88	19
33	Male	30.38	14
45	Male	23	14
17	Male	6.7	12
35	Female	23.04	12
53	Female	13.82	10
17	Male	6.54	12
28	Male	12	12
59	Female	16.7	19
36	Female	12.8	14
47	Male	20	16
29	Female	9.03	16
47	Male	30.24	18
40	Female	16.73	12
64	Male	10	9
33	Male	12.78	11
26	Male	21.31	20
24	Male	45.36	15
43	Male	20.07	16
24	Female	8.39	17
34	Male	19.2	12
40	Female	35.2	14
65	Female	6.71	12
47	Male	21.6	12
23	Female	23.06	19
49	Male	14.84	10
48	Male	19.18	9
42	Female	12.37	12
37	Female	21.04	12
61	Female	6.75	11
26	Male	10.98	12
19	Female	12	13
28	Female	10.7	15
36	Male	17.67	15
23	Male	9.99	15
45	Male	28.8	12
27	Female	14.38	16
39	Male	11.81	10
19	Female	6.5	12
47	Male	22	10
25	Female	17.42	18
40	Female	11.61	13
35	Male	9.43	12
41	Male	19.9	17
20	Male	8.65	13
47	Male	19.2	15
28	Female	10.18	12
16	Female	6.76	10
25	Female	12.96	16
26	Female	7.35	18
52	Male	40.96	17
29	Female	13.59	12
33	Male	9.54	12
46	Male	14.49	10
49	Male	28.8	17
17	Male	10	11
21	Male	6.7	14
47	Male	26.96	13
19	Male	12.19	13
19	Female	6.5	12
52	Female	32.91	17
22	Female	15	14
31	Female	15	14
23	Female	5.11	15
18	Female	7	15
52	Male	31.2	10
38	Female	23.04	18
18	Male	6.78	13
52	Female	15.36	15
49	Female	13.68	11
35	Female	17	13
53	Female	25.92	14
17	Male	6.85	11
31	Male	13.92	14
17	Female	6.7	11
26	Female	16.59	20
19	Female	14.06	12
20	Male	5.64	13
45	Female	10.45	19
38	Male	14.34	10
30	Female	14.11	17
42	Female	16.96	0
24	Female	6.7	17
20	Female	7.39	15
32	Female	10.85	15
34	Female	3.31	9
59	Male	28.8	12
27	Male	13.96	13
26	Male	10	14
49	Female	21.5	16
54	Female	12.81	12
39	Female	19.2	13
27	Male	17.76	15
55	Female	14.4	9
38	Female	40	14
51	Female	10.87	8
17	Male	6.7	12
48	Female	6.91	11
43	Female	15.72	16
30	Male	25.67	13
40	Female	29.33	18
42	Female	20	12
29	Male	22.98	14
40	Female	10	15
36	Male	11	12
22	Female	8.09	14
27	Male	8.5	17
33	Male	19.75	19
40	Male	27.27	14
56	Female	11	12
38	Female	12.6	13
47	Female	25.98	15
30	Female	4.03	13
31	Male	18	14
29	Female	16.95	18
30	Male	8	8
18	Female	3.19	13
18	Female	6.7	13
30	Female	15.87	15
30	Female	19.61	16
55	Female	11.67	10
17	Female	6.8	11
24	Male	13.5	12
33	Female	7.95	12
19	Female	6.7	13
33	Male	13.53	14
18	Male	8.16	13
33	Male	28.8	16
38	Male	26.4	11
42	Female	25.93	15
64	Female	13.44	12
39	Male	19.26	13
19	Male	6.75	11
53	Male	8.5	8
43	Male	9	8
21	Female	12	12
30	Male	11.25	11
17	Female	6	13
62	Male	8.89	10
39	Male	26.4	17
48	Female	11.96	10
40	Male	25.6	16
56	Female	23.04	15
39	Female	7.5	12
48	Female	22.2	12
18	Male	6.85	11
37	Male	7.75	13
22	Male	12	13
32	Female	6.85	13
62	Female	22.5	15
43	Female	30.24	19
37	Female	13.02	13
33	Male	26.48	15
46	Male	11.52	12
42	Female	17.76	12
62	Male	15.32	7
24	Female	6.49	18
28	Female	6.46	15
26	Female	11	12
34	Female	7	12
40	Male	16.8	15
47	Female	21	16
29	Female	13	12
36	Female	26.35	14
45	Female	13.38	12
40	Female	15	19
42	Male	14.8	15
32	Male	27.03	14
31	Male	14.09	13
19	Female	11.43	9
17	Female	4.03	10
24	Male	12	11
52	Female	9.6	9
28	Male	18.65	12
40	Male	32.16	18
41	Female	8.05	12
34	Male	8	10
19	Male	10	12
35	Female	7.45	14
37	Male	25.81	12
44	Female	29.98	17
34	Male	38	13
40	Female	12.6	12
44	Female	16.46	10
50	Male	20.64	18
46	Female	41.14	18
21	Female	10.21	14
55	Female	9.25	8
42	Female	17.81	14
34	Male	16	13
36	Male	17.28	15
62	Female	8.5	9
48	Female	11.35	12
29	Female	18.24	13
33	Male	24.84	15
55	Female	6.87	6
27	Male	18.07	15
28	Female	10.2	12
39	Male	14.28	12
18	Female	10.29	13
39	Female	15.57	12
31	Male	7.64	11
54	Male	24.69	13
53	Male	14.98	16
46	Female	8	11
36	Male	33.6	16
23	Male	8.74	12
31	Female	26.85	12
64	Male	42.93	20
57	Male	31.2	20
29	Male	25.34	16
39	Male	16.67	18
51	Male	19.2	16
27	Female	20.48	17
63	Male	9.17	9
40	Female	5.84	14
32	Male	7	11
33	Female	7	9
41	Female	10.34	13
36	Female	16.72	14
41	Male	9.6	11
48	Female	12	10
27	Male	15.6	14
64	Female	24.76	15
35	Male	20.88	19
30	Female	6.7	8
59	Male	44.28	15
54	Male	22.08	11
25	Male	18.52	14
35	Male	16.78	14
48	Female	17	12
56	Male	20.16	20
41	Male	28.53	16
16	Female	6.85	10
64	Male	15.84	13
19	Female	6.98	12
42	Male	21.25	12
19	Female	7.19	11
34	Female	15.93	9
46	Male	34.56	17
39	Female	13.44	12
41	Female	8.09	8
