 fem     ment    phd     mar     kid5    art 
 121    0   4   1.52    1   0   0
 122    0   2   1.72    1   2   4
 123    0   1   1.78    1   1   2
 124    0   17  2.86    1   1   1
 125    0   30  4.62    1   2   0
 126    0   5   4.14    0   0   1
 127    0   13  2.96    1   1   6
 128    0   11  2.55    1   0   1
 129    0   19  2.21    1   1   0
 130    0   5   3.09    1   0   3
 131    0   66  4.54    1   2   4
 132    0   0   1.78    1   0   3
 133    0   3   2.21    1   3   0
 134    0   3   2.39    1   1   1
 135    0   0   2.96    1   0   0
 136    0   8   2.51    1   1   0
 137    0   0   1.97    1   2   2
 138    0   5   4.14    0   0   0
 139    0   29  4.25    1   1   4
 140    0   11  2.86    1   2   0
 141    0   23  2.96    1   1   9
 142    0   46  2.96    1   2   2
 143    0   8   4.62    1   1   6
 144    0   5   3.69    1   2   0
 145    0   1   3.15    1   1   0
 146    0   9   4.62    0   0   2
 147    0   2   3.36    1   0   0
 148    0   7   3.69    0   0   4
 149    0   11  3.54    1   0   1
 150    0   57  2.96    1   1   4
 151    0   16  2.56    1   1   1
 152    0   0   2.32    1   0   0
 153    0   3   2.32    1   0   0
 154    0   1   0.92    1   2   0
 155    0   10  4.54    1   0   0
 156    0   11  4.54    1   3   0
 157    0   11  1.76    1   1   5
 158    0   16  2.56    0   0   1
 159    0   5   2.39    1   1   0
 160    0   9   3.4 1   0   2
 161    0   20  2.87    1   2   2
 162    0   21  4.54    1   2   4
 163    0   5   2.83    1   0   4
 164    0   6   1.68    1   0   0
 165    0   12  3.54    0   0   3
 166    0   0   1.76    1   0   2
 167    0   11  3.15    1   3   1
 168    0   3   2.51    1   0   0
 169    0   16  3.69    1   1   0
 170    0   11  1.76    1   1   4
 171    0   5   1.86    1   1   12
 172    0   1   2.76    1   3   0
 173    0   16  4.62    1   1   1
 174    0   12  4.25    1   0   5
 175    0   11  2.54    1   0   4
 176    0   0   2.2 1   1   0
 177    0   0   1.76    1   0   2
 178    0   3   2.86    1   3   3
 179    0   13  3.4 1   2   0
 180    0   45  4.54    1   1   1
 181    0   47  1.86    1   1   9
 182    0   7   1.52    1   0   0
 183    0   7   2.56    1   1   2
 184    0   19  2.21    1   0   0
 185    0   9   3.69    1   0   7
 186    0   77  1.78    1   1   1
 187    0   0   1.18    1   1   0
 188    0   4   2   1   0   1
 189    0   19  2.21    1   0   0
 190    0   12  4.14    1   2   0
 191    0   1   2.86    1   3   0
 192    0   17  2.86    1   1   1
 193    0   6   2.54    0   0   7
 194    0   4   2.86    1   1   0
 195    0   6   2.52    0   0   4
 196    0   3   1.52    1   1   2
 197    0   5   3.09    1   1   3
 198    0   3   1.18    1   1   0
 199    0   3   1.42    1   0   0
 200    0   15  4.62    0   0   7
 201    0   0   2.96    1   2   1
 202    0   10  4.54    0   0   2
 203    0   42  4.54    0   0   7
 204    0   3   2.51    1   2   1
 205    0   7   3.15    1   1   2
 206    0   0   2.5 1   0   1
 207    0   6   2.96    1   3   1
 208    0   4   1.68    1   0   0
 209    0   0   1.22    1   1   1
 210    0   2   1.52    1   0   1
 211    0   5   2.21    1   1   0
 212    0   1   3.92    1   1   0
 213    0   13  4.54    1   0   5
 214    0   0   1.18    1   0   2
 215    0   26  3.69    1   0   3
 216    0   1   1.72    1   0   2
 217    0   25  2.58    1   1   5
 218    0   3   1.52    0   0   3
 219    0   47  1.86    1   1   4
 220    0   4   2.5 1   0   5
 221    0   1   4.62    1   0   1
 222    0   7   1.4 1   2   0
 223    0   5   4.54    1   0   3
 224    0   27  1.68    1   1   0
 225    0   1   2.83    1   0   2
 226    0   5   3.36    0   0   1
 227    0   0   1.97    1   1   7
 228    0   12  3.4 0   0   1
 229    0   4   1.74    1   1   1
 230    0   0   2.96    0   0   0
 231    0   25  2.58    1   1   4
 232    0   3   4.54    1   1   1
 233    0   2   3.15    1   1   0
 234    0   12  2.96    1   2   0
 235    0   16  3.54    1   2   2
 236    0   5   2.96    1   1   3
 237    0   12  4.25    1   0   1
 238    0   5   2.56    1   1   2
 239    0   5   1.86    1   0   1
 240    0   3   4.62    1   1   1
 241    0   4   2.86    0   0   2
 242    0   5   3.15    1   1   5
 243    0   0   2.51    1   0   2
 244    0   27  3.15    1   1   5
 245    0   5   2.51    1   0   2
 246    0   0   1.52    1   1   0
 247    0   18  4.29    0   0   6
 248    0   5   4.29    1   1   4
 249    0   8   4.29    1   2   2
 250    0   4   2.1 1   0   2
 251    0   35  4.29    1   1   12
 252    0   5   4.29    0   0   2
 253    0   9   3.59    1   1   1
 254    0   6   4.29    1   0   1
 255    0   24  4.29    1   0   2
 256    0   0   2.1 1   1   0
 257    0   5   1.81    1   1   0
 258    0   19  4.29    0   0   7
 259    0   3   4.29    0   0   1
 260    0   2   4.29    1   1   1
 261    0   4   1.25    1   0   3
 262    0   10  3.59    1   0   1
 263    0   8   2.1 1   1   1
 264    0   2   4.29    1   0   4
 265    0   19  4.29    1   1   3
 266    0   1   3.47    1   1   1
 267    0   3   3.19    1   0   1
 268    0   5   3.19    1   2   1
 269    0   0   2.1 1   0   1
 270    0   21  3.59    1   1   5
 271    0   14  4.29    1   1   1
 272    0   0   2.1 1   0   0
 273    0   7   2.76    1   1   1
 274    0   5   2.61    1   0   3
 275    0   22  4.29    1   0   4
 276    0   20  3.41    0   0   7
 277    0   38  4.29    1   0   3
 278    0   19  4.29    0   0   4
 279    0   3   2.26    0   0   2
 280    0   16  3.59    0   0   3
 281    0   2   4.29    1   1   0
 282    0   3   2.05    0   0   1
 283    0   12  4.29    1   2   1
 284    0   35  4.29    0   0   0
 285    0   19  4.29    1   0   0
 286    0   2   4.29    0   0   0
 287    0   7   2.76    0   0   1
 288    0   4   2.1 1   2   3
 289    0   14  2.36    0   0   1
 290    0   9   4.29    0   0   0
 291    0   8   3.59    0   0   0
 292    0   12  4.29    1   1   2
 293    0   3   4.29    1   1   0
 294    0   1   4.29    1   0   1
 295    0   10  4.29    0   0   1
 296    0   21  3.41    0   0   4
 297    0   13  4.29    1   1   0
 298    0   17  4.29    1   0   2
 299    0   5   4.29    0   0   0
 300    0   2   2.14    0   0   0
 301    0   8   4.29    1   0   0
 302    0   2   2.5 1   1   2
 303    0   5   2.61    1   1   3
 304    0   1   1.81    1   2   0
 305    0   2   2.26    1   1   0
 306    0   4   3.62    1   2   1
 307    0   9   4.29    1   2   1
 308    0   9   4.29    0   0   0
 309    0   17  4.29    0   0   2
 310    0   24  4.29    1   2   0
 311    0   4   3.47    1   0   4
 312    0   14  4.29    1   1   2
 313    0   5   3.59    1   1   1
 314    0   10  1.81    0   0   1
 315    0   18  4.29    1   1   3
 316    0   1   4.29    1   1   0
 317    0   0   2.1 1   0   1
 318    0   4   2.15    1   2   0
 319    0   8   4.29    1   0   0
 320    0   1   2.26    1   0   1
 321    0   8   4.29    1   0   0
 322    0   13  4.29    1   2   0
 323    0   5   3.59    1   2   0
 324    0   7   3.41    1   2   0
 325    0   7   3.59    0   0   3
 326    0   5   3.62    1   1   3
 327    0   0   2.1 1   3   1
 328    0   14  4.29    0   0   1
 329    0   6   4.29    1   0   0
 330    0   5   2.26    1   1   1
 331    0   8   2.76    1   0   3
 332    0   4   2.61    1   1   1
 333    0   9   4.29    0   0   2
 334    0   3   2.1 1   1   2
 335    0   2   3.47    1   1   0
 336    0   0   2.1 0   0   0
 337    0   11  4.29    0   0   1
 338    0   9   4.29    0   0   1
 339    0   8   2.96    1   0   1
 340    0   2   2.96    1   0   2
 341    0   18  4.62    1   0   3
 342    0   3   1.42    1   0   3
 343    0   2   4.54    1   0   1
 344    0   7   2.52    1   0   0
 345    0   10  4.54    1   1   2
 346    0   16  2   1   1   1
 347    0   5   2.54    1   0   0
 348    0   0   2.5 1   0   2
 349    0   8   4.54    0   0   0
 350    0   10  3.36    0   0   1
 351    0   18  3.4 1   1   0
 352    0   12  1.68    1   1   1
 353    0   9   2   0   0   1
 354    0   39  2.86    1   0   1
 355    0   18  4.62    1   0   1
 356    0   15  4.14    1   0   1
 357    0   16  4.14    1   0   2
 358    0   2   2.96    0   0   0
 359    0   7   2.83    1   2   3
 360    0   24  2.55    1   0   2
 361    0   8   1.68    1   0   1
 362    0   7   2   0   0   1
 363    0   11  2   1   1   1
 364    0   0   2.96    1   1   4
 365    0   4   1.5 1   0   4
 366    0   21  3.54    1   0   2
 367    0   6   3.4 0   0   1
 368    0   6   4.62    0   0   0
 369    0   8   2.83    0   0   3
 370    0   4   2.54    1   0   1
 371    0   12  2.87    0   0   1
 372    0   15  1.86    0   0   1
 373    0   0   3.92    1   1   1
 374    0   5   3.69    1   1   1
 375    0   15  2.86    1   2   4
 376    0   5   4.54    0   0   0
 377    0   8   4.62    0   0   0
 378    0   13  2.86    1   1   0
 379    0   2   3.4 0   0   1
 380    0   6   2.58    1   2   4
 381    0   20  4.25    1   0   3
 382    0   7   1.76    1   1   2
 383    0   7   2.86    1   3   0
 384    0   16  3.69    1   2   4
 385    0   13  3.4 1   0   0
 386    0   0   3.4 1   2   0
 387    0   1   4.54    1   2   0
 388    0   12  2.87    0   0   3
 389    0   7   1.76    1   0   4
 390    0   4   4.25    0   0   1
 391    0   0   3.92    0   0   3
 392    0   4   3.36    1   0   2
 393    0   4   2.32    1   0   1
 394    0   37  4.54    0   0   2
 395    0   23  3.36    1   1   0
 396    0   8   2   1   3   2
 397    0   8   3.92    1   1   1
 398    0   2   3.92    0   0   1
 399    0   0   3.36    0   0   1
 400    0   1   1.78    1   0   1
 401    0   21  3.54    1   1   1
 402    0   10  3.92    0   0   2
 403    0   8   2.32    0   0   3
 404    0   34  1.68    1   0   1
 405    0   14  3.09    0   0   2
 406    0   6   2.58    1   1   0
 407    0   14  3.4 0   0   6
 408    0   12  2.87    0   0   3
 409    0   18  4.62    0   0   4
 410    0   3   2.96    1   3   0
 411    0   6   1.86    1   2   2
 412    0   2   1.22    1   1   0
 413    0   11  2.51    1   2   6
 414    0   11  2.51    1   0   8
 415    0   5   3.69    1   0   2
 416    0   8   2.96    1   0   3
 417    0   4   1.78    1   0   1
 418    0   1   1.22    1   1   1
 419    0   8   2.86    1   0   0
 420    0   19  3.69    0   0   7
 421    0   2   2.12    0   0   0
 422    0   10  2.52    1   1   2
 423    0   4   2.32    1   0   1
 424    0   3   4.62    1   0   2
 425    0   2   3.54    1   2   4
 426    0   1   2.5 1   0   0
 427    0   5   1.68    0   0   0
 428    0   2   3.4 1   1   1
 429    0   5   3.92    0   0   0
 430    0   53  4.54    1   1   5
 431    0   55  4.54    0   0   2
 432    0   0   2.5 0   0   0
 433    0   11  4.54    1   0   2
 434    0   25  3.54    0   0   3
 435    0   5   1.52    1   0   2
 436    0   2   3.92    1   2   0
 437    0   8   4.62    1   0   2
 438    0   0   3.92    1   0   3
 439    0   5   2.32    1   2   0
 440    0   8   2.96    1   2   2
 441    0   7   2.86    1   2   1
 442    0   14  1.95    1   1   3
 443    0   2   3.92    1   2   1
 444    0   5   2.87    0   0   1
 445    0   24  3.69    1   0   3
 446    0   3   3.69    1   0   0
 447    0   4   2.39    0   0   2
 448    0   3   1.95    1   2   3
 449    0   11  3.36    0   0   5
 450    0   4   2.39    1   1   2
 451    0   26  3.69    0   0   2
 452    0   4   2.96    1   1   5
 453    0   2   3.21    1   0   0
 454    0   0   2.12    1   2   0
 455    0   53  4.54    1   1   2
 456    0   4   2.32    1   0   3
 457    0   6   2.54    1   1   3
 458    0   2   2.86    1   1   1
 459    0   14  3.47    1   0   3
 460    0   15  2.87    0   0   4
 461    0   4   2.32    1   0   0
 462    0   15  1.86    1   2   4
 463    0   4   1.95    1   0   2
 464    0   2   2.32    1   2   0
 465    0   20  4.25    1   2   1
 466    0   4   1.97    0   0   6
 467    0   42  1.86    1   0   19
 468    0   8   3.69    1   1   0
 469    0   3   4.54    1   1   0
 470    0   9   3.54    1   0   4
 471    0   10  4.54    1   1   1
 472    0   7   2.86    1   2   11
 473    0   25  3.36    1   0   0
 474    0   3   2.86    0   0   0
 475    0   4   2.96    1   2   0
 476    0   22  2.56    1   2   1
 477    0   8   1.63    1   0   2
 478    0   14  2.96    0   0   0
 479    0   0   2.96    1   0   1
 480    0   8   1.63    1   1   1
 481    0   0   2.96    0   0   0
 482    0   21  2.96    1   2   2
 483    0   7   2.96    1   0   1
 484    0   31  4.54    1   2   3
 485    0   2   4.54    1   2   2
 486    0   10  2.15    0   0   1
 487    0   6   4.54    1   1   2
 488    0   12  2.21    1   2   2
 489    0   1   2.21    1   1   0
 490    0   29  4.54    0   0   2
 491    0   10  2.21    1   1   3
 492    0   6   2.21    1   0   0
 493    0   37  4.54    1   0   3
 494    0   5   4.54    0   0   4
 495    1   9   2.12    0   0   0
 496    1   2   2.12    1   0   0
 497    1   2   2.12    1   0   2
 498    1   3   2.12    1   0   3
 499    1   9   2.12    1   1   1
 500    1   11  2.39    0   0   3
 501    1   5   2.58    0   0   2
 502    1   7   3.19    1   0   4
 503    1   5   3.75    0   0   0
 504    1   3   3.59    0   0   1
 505    1   2   2.58    0   0   2
 506    1   0   3.75    0   0   3
 507    1   5   3.75    1   0   0
 508    1   1   3.75    0   0   0
 509    1   4   1.22    1   2   2
 510    1   14  3.75    0   0   0
 511    1   7   3.75    1   0   0
 512    1   26  3.75    0   0   0
 513    1   8   3.75    0   0   2
 514    1   3   3.75    0   0   4
 515    1   6   3.75    0   0   0
 516    1   21  3.75    0   0   1
 517    1   8   3.75    1   0   2
 518    1   4   3.75    0   0   0
 519    1   7   3.75    1   1   1
 520    1   0   3.75    1   0   2
 521    1   0   2.54    1   1   0
 522    1   1   2.54    1   0   0
 523    1   4   2.76    0   0   0
 524    1   2   4.14    0   0   0
 525    1   4   0.92    0   0   1
 526    1   0   1   0   0   0
 527    1   6   3.09    0   0   2
 528    1   3   3.09    1   1   2
 529    1   0   1.79    0   0   0
 530    1   3   1.4 0   0   1
 531    1   3   1.4 0   0   4
 532    1   0   1.4 1   0   2
 533    1   0   1.4 0   0   2
 534    1   14  1.4 0   0   0
 535    1   12  1.4 0   0   1
 536    1   2   1.4 0   0   1
 537    1   6   2   0   0   1
 538    1   11  4.34    1   0   2
 539    1   6   4.34    1   0   4
 540    1   0   1.75    0   0   0
 541    1   36  2.1 1   0   6
 542    1   8   2.1 0   0   1
 543    1   2   2.1 0   0   0
 544    1   11  3.59    1   0   2
 545    1   11  3.59    1   2   2
 546    1   18  3.59    0   0   0
 547    1   4   3.59    0   0   0
 548    1   18  3.59    1   0   10
 549    1   8   3.59    0   0   1
 550    1   19  3.41    1   0   3
 551    1   4   3.41    1   0   4
 552    1   5   3.41    1   2   0
 553    1   7   3.4 0   0   1
 554    1   4   3.4 1   1   2
 555    1   5   3.4 1   0   4
 556    1   14  3.4 1   0   1
 557    1   4   3.4 1   0   0
 558    1   4   2.52    0   0   3
 559    1   0   2.52    0   0   1
 560    1   15  3.69    1   1   2
 561    1   1   3.69    1   0   1
 562    1   3   3.69    1   1   0
 563    1   18  3.69    0   0   1
 564    1   15  2.87    0   0   0
 565    1   5   2.87    1   0   1
 566    1   18  2.87    1   0   1
 567    1   9   2.87    0   0   2
 568    1   6   2.87    0   0   4
 569    1   15  2.87    1   0   1
 570    1   4   3.36    0   0   2
 571    1   2   3.36    1   2   0
 572    1   3   3.36    0   0   2
 573    1   7   3.36    0   0   0
 574    1   16  4.54    1   0   4
 575    1   48  4.54    1   2   2
 576    1   15  4.54    1   0   5
 577    1   37  4.54    0   0   1
 578    1   10  4.54    1   0   2
 579    1   13  4.54    0   0   2
 580    1   6   4.54    1   2   0
 581    1   13  0.76    0   0   0
 582    1   7   4.54    1   1   2
 583    1   9   4.54    1   0   2
 584    1   5   4.54    0   0   2
 585    1   15  4.54    0   0   6
 586    1   3   4.54    0   0   3
 587    1   14  4.54    0   0   0
 588    1   2   1.28    1   0   1
 589    1   4   1.28    1   0   4
 590    1   4   1.28    1   0   0
 591    1   0   2.5 1   1   0
 592    1   47  3.85    1   2   2
 593    1   29  3.85    1   0   1
 594    1   1   3.85    1   1   5
 595    1   18  3.85    0   0   1
 596    1   13  2.05    0   0   1
 597    1   17  2.05    0   0   1
 598    1   2   2.05    0   0   2
 599    1   4   1.78    1   0   4
 600    1   1   1.18    1   0   1
 601    1   3   1.52    1   0   0
 602    1   9   1.48    1   0   2
 603    1   12  4.29    0   0   0
 604    1   17  4.29    0   0   1
 605    1   5   4.29    0   0   3
 606    1   2   3.09    1   0   2
 607    1   0   3.09    0   0   2
 608    1   3   3.62    0   0   5
 609    1   7   3.62    0   0   0
 610    1   8   3.62    0   0   0
 611    1   0   4.29    0   0   0
 612    1   6   2.61    1   1   1
 613    1   7   2.61    1   0   1
 614    1   9   2.1 0   0   0
 615    1   8   2.96    1   0   2
 616    1   10  2.39    0   0   0
 617    1   3   1.95    1   0   1
 618    1   14  3.41    0   0   2
 619    1   1   4.29    0   0   2
 620    1   11  3.59    0   0   2
 621    1   10  4.62    0   0   1
 622    1   6   2.14    0   0   1
 623    1   11  2.86    0   0   0
 624    1   5   3.47    0   0   2
 625    1   14  4.62    1   1   3
 626    1   9   3.19    1   3   1
 627    1   1   2.51    0   0   1
 628    1   0   2.12    0   0   0
 629    1   3   3.19    0   0   0
 630    1   4   1.74    1   1   2
 631    1   0   1.25    1   0   0
 632    1   7   3.69    1   0   0
 633    1   5   3.21    0   0   0
 634    1   15  4.62    1   1   0
 635    1   24  2.86    1   0   5
 636    1   9   2.39    1   1   1
 637    1   0   1.18    1   0   3
 638    1   7   3.36    0   0   2
 639    1   8   1.97    0   0   2
 640    1   22  1.64    1   0   1
 641    1   7   3.92    1   0   2
 642    1   6   3.32    0   0   6
 643    1   6   2.58    0   0   5
 644    1   23  4.54    0   0   2
 645    1   2   2.39    1   0   0
 646    1   9   3.59    0   0   4
 647    1   7   3.69    0   0   2
 648    1   10  3.19    0   0   2
 649    1   4   2.32    0   0   2
 650    1   11  3.47    1   1   2
 651    1   4   3.69    0   0   2
 652    1   5   2.32    1   1   3
 653    1   11  3.19    0   0   1
 654    1   19  4.54    0   0   1
 655    1   3   3.36    1   1   0
 656    1   5   2.58    1   0   2
 657    1   7   3.21    1   1   2
 658    1   3   1.4 0   0   1
 659    1   10  2.5 0   0   4
 660    1   0   3.19    1   2   0
 661    1   3   3.36    0   0   0
 662    1   9   3.15    0   0   6
 663    1   7   1.45    1   0   2
 664    1   7   2.86    1   2   1
 665    1   49  4.62    1   1   3
 666    1   2   3.69    1   0   0
 667    1   19  2.96    1   0   1
 668    1   12  3.09    1   1   1
 669    1   1   3.09    0   0   0
 670    1   12  4.62    0   0   2
 671    1   13  2.86    1   0   0
 672    1   2   3.21    0   0   0
 673    1   3   2.83    1   0   2
 674    1   22  4.29    0   0   1
 675    1   35  4.29    0   0   0
 676    1   1   3.09    1   0   2
 677    1   4   3.69    0   0   0
 678    1   1   1.79    1   0   0
 679    1   2   3.36    1   1   0
 680    1   14  2.58    1   0   4
 681    1   24  3.75    0   0   1
 682    1   5   3.19    0   0   2
 683    1   1   2.1 0   0   0
 684    1   8   3.59    1   1   0
 685    1   1   3.92    0   0   0
 686    1   24  3.32    1   1   1
 687    1   2   2   0   0   0
 688    1   2   3.47    1   0   0
 689    1   14  3.21    1   0   4
 690    1   5   2.05    0   0   3
 691    1   1   2.52    0   0   0
 692    1   7   3.15    1   0   0
 693    1   38  1.86    1   2   6
 694    1   3   2.86    0   0   2
 695    1   4   4.29    1   1   4
 696    1   0   1.25    1   2   0
 697    1   19  3.21    1   0   5
 698    1   5   2.32    1   1   1
 699    1   3   3.19    0   0   4
 700    1   2   3.19    1   0   1
 701    1   11  3.36    1   0   3
 702    1   14  3.54    1   1   1
 703    1   6   1.86    1   0   0
 704    1   13  1.5 0   0   0
 705    1   7   2.39    1   0   1
 706    1   11  4.29    1   1   2
 707    1   9   2   1   1   0
 708    1   4   3.92    0   0   1
 709    1   6   4.29    1   0   2
 710    1   6   3.36    0   0   1
 711    1   14  4.62    1   0   3
 712    1   6   2   0   0   1
 713    1   5   3.59    1   0   2
 714    1   6   2.87    0   0   1
 715    1   4   2.96    0   0   0
 716    1   11  3.47    1   0   0
 717    1   8   3.19    1   0   4
 718    1   3   2.86    1   1   0
 719    1   16  2.52    1   0   2
 720    1   6   4.29    0   0   1
 721    1   0   1.25    0   0   1
 722    1   2   1.83    1   0   0
 723    1   12  4.29    0   0   3
 724    1   8   2.96    1   0   0
 725    1   1   2.32    1   0   1
 726    1   11  1.22    1   1   0
 727    1   11  4.29    1   0   1
 728    1   2   4.25    0   0   1
 729    1   36  2.55    0   0   2
 730    1   11  1.95    1   0   1
 731    1   2   3.69    0   0   0
 732    1   25  4.29    0   0   1
 733    1   5   3.19    1   0   2
 734    1   12  3.54    1   1   4
 735    1   5   3.54    1   0   4
 736    1   8   3.54    1   1   0
 737    1   1   1.86    1   1   3
 738    1   3   4.62    0   0   4
 739    1   16  4.62    1   0   1
 740    1   10  4.62    1   0   3
 741    1   13  4.54    1   0   1
 742    1   1   3.47    1   0   0
 743    1   16  2.86    0   0   0
 744    1   7   2   1   0   0
 745    1   2   2   0   0   0
 746    1   3   2.61    1   0   0
 747    1   6   2.05    0   0   0
 748    1   6   2.05    0   0   0
 749    1   5   3.54    0   0   0
 750    1   0   0.92    1   0   2
 751    1   0   1.79    1   0   0
 752    1   6   2   1   0   0
 753    1   8   3.15    0   0   4
 754    1   16  2.26    1   0   5
 755    1   4   2.26    0   0   1
 756    1   1   4.29    1   0   6
 757    1   21  4.29    1   0   1
 758    1   9   4.54    0   0   1
 759    1   3   3.36    1   1   0
 760    1   2   2.52    0   0   0
 761    1   10  4.29    0   0   3
 762    1   9   4.29    0   0   0
 763    1   12  4.54    0   0   2
 764    1   0   2.5 0   0   0
 765    1   2   2.76    0   0   1
 766    1   0   2.55    1   1   0
 767    1   0   4.62    1   0   0
 768    1   6   1.63    0   0   2
 769    1   3   3.47    1   0   1
 770    1   31  3.41    1   0   2
 771    1   1   4.29    0   0   0
 772    1   7   2.96    1   0   0
 773    1   0   4.62    1   0   5
 774    1   12  3.59    1   0   0
 775    1   12  3.69    1   0   3
 776    1   2   4.54    1   0   1
 777    1   11  3.34    0   0   4
 778    1   2   2.51    1   1   4
 779    1   4   3.15    1   0   3
 780    1   3   3.19    1   0   1
 781    1   18  3.19    0   0   1
 782    1   2   3.85    0   0   1
 783    1   4   3.34    1   1   2
 784    1   15  4.29    0   0   2
 785    1   4   4.29    0   0   2
 786    1   21  4.29    0   0   2
 787    1   4   4.29    1   1   0
 788    1   0   2.96    1   0   0
 789    1   1   1.78    1   0   0
 790    1   17  3.54    1   2   1
 791    1   3   3.69    1   0   0
 792    1   2   3.36    0   0   3
 793    1   2   3.54    1   0   0
 794    1   1   3.54    1   1   0
 795    1   3   1.22    1   1   3
 796    1   4   3.36    0   0   1
 797    1   2   2.21    0   0   1
 798    1   4   2.25    0   0   1
 799    1   17  4.62    1   1   2
 800    1   5   3.59    1   0   1
 801    1   1   4.29    1   0   0
 802    1   2   2.12    0   0   2
 803    1   3   2.26    0   0   2
 804    1   3   2.26    1   0   4
 805    1   5   4.29    0   0   0
 806    1   3   3.59    1   1   3
 807    1   13  4.29    1   2   1
 808    1   2   2   0   0   1
 809    1   0   1.97    1   2   0
 810    1   8   3.92    1   0   0
 811    1   39  2.86    0   0   4
 812    1   26  2.83    0   0   2
 813    1   3   3.36    1   1   3
 814    1   23  2.56    0   0   4
 815    1   8   1.63    0   0   1
 816    1   22  4.62    0   0   3
 817    1   5   4.62    0   0   1
 818    1   21  4.29    1   0   3
 819    1   6   4.29    1   1   0
 820    1   4   4.29    1   1   2
 821    1   24  4.29    1   0   6
 822    1   6   4.29    1   0   1
